Thumb,Index
3580,1084
3600,1092
3576,1076
3572,1060
3584,1072
3596,1080
3592,1080
3600,1088
3576,1096
3580,1080
3600,1080
3600,1080
3580,1080
3588,1084
3584,1064
3592,1080
3576,1084
3584,1096
3616,1092
3588,1096
3580,1088
3588,1084
3584,1080
3596,1088
3600,1088
3580,1080
3568,1092
3584,1088
3580,1080
3572,1092
3584,1084
3560,1080
3568,1104
3568,1092
3572,1084
3552,1088
3548,1088
3528,1088
3556,1084
3568,1084
3572,1076
3544,1096
3536,1088
3556,1084
3548,1088
3540,1084
3524,1084
3536,1092
3500,1088
3516,1088
3528,1052
3516,1068
3496,1080
3504,1092
3484,1096
3496,1084
3496,1088
3524,1080
3484,1092
3496,1092
3480,1068
3460,1072
3488,1088
3484,1088
3484,1080
3484,1092
3500,1080
3484,1072
3456,1084
3480,1088
3492,1076
3468,1068
3484,1100
3484,1076
3468,1088
3472,1060
3480,1088
3480,1052
3472,1104
3492,1076
3500,1068
3504,1064
3484,1080
3488,1088
3500,1072
3488,1080
3500,1088
3488,1072
3488,1076
3488,1092
3484,1072
3484,1084
3516,1080
3516,1080
3524,1080
3500,1080
3520,1068
3512,1068
3528,1088
3516,1080
3520,1080
3524,1080
3500,1068
3532,1080
3532,1068
3528,1076
3520,1092
3520,1080
3552,1112
3536,1084
3532,1072
3508,1080
3540,1072
3520,1060
3532,1084
3548,1088
3524,1080
3532,1092
3532,1092
3520,1084
3512,1068
3520,1084
3524,1084
3520,1076
3500,1068
3512,1072
3500,1088
3496,1060
3504,1052
3520,1080
3504,1076
3472,1080
3500,1060
3504,1088
3496,1084
3504,1068
3484,1088
3484,1080
3488,1064
3488,1076
3480,1088
3488,1080
3476,1056
3476,1060
3472,1068
3480,1072
3488,1084
3468,1088
3464,1076
3240,1064
3192,1072
3152,1072
3176,1080
3176,1080
3164,1092
3168,1076
3168,1072
3152,1076
3148,1088
3136,1072
3152,1092
3152,1068
3132,1092
3116,1080
3128,1072
3116,1080
3116,1080
3132,1088
3136,1060
3116,1060
3128,1068
3120,1052
3144,1072
3132,1060
3112,1088
3132,1076
3100,1076
3100,1072
3120,1084
3104,1088
3112,1080
3068,1080
3112,1072
3084,1052
3108,1072
3104,1080
3104,1068
3124,1072
3120,1080
3100,1076
3096,1052
3104,1080
3084,1084
3068,1092
3072,1060
3080,1068
3072,1052
3060,1076
3072,1088
3068,1088
3072,1088
3084,1080
3068,1072
3092,1084
3072,1072
3080,1072
3068,1080
3096,1084
3096,1080
3076,1084
3100,1088
3088,1072
3088,1080
3100,1076
3100,1064
3084,1060
3120,1080
3104,1068
3096,1068
3084,1060
3112,1060
3104,1096
3080,1080
3088,1084
3076,1080
3036,1080
3072,1088
3012,1096
3040,1080
3012,1064
3020,1072
3028,1080
3008,1080
3024,1092
3012,1072
3016,1076
3028,1068
3012,1084
3028,1088
3004,1088
3012,1072
3008,1052
3004,1080
3036,1072
3032,1076
3032,1064
3036,1052
3004,1072
3040,1080
3032,1088
3024,1088
3036,1052
3016,1096
3012,1092
3020,1076
2996,1088
3024,1072
3020,1072
3004,1072
2980,1076
2996,1068
3016,1080
3008,1088
3008,1076
2984,1068
3004,1072
3024,1060
3004,1064
3020,1100
2984,1080
2988,1072
3000,1064
3000,1088
3008,1084
2984,1048
2984,1076
2996,1080
3008,1080
3000,1064
3000,1072
3000,1064
3000,1064
2996,1072
3004,1052
3008,1080
2992,1076
3012,1064
2972,1088
3000,1068
2988,1088
2984,1080
3008,1068
3008,1076
2968,1072
2992,1076
2996,1076
3000,1088
3000,1052
2996,1068
2992,1052
3000,1080
3008,1068
3008,1076
2976,1052
2976,1080
3016,1088
2972,1084
2996,1076
2988,1072
3020,1092
3016,1088
3040,1072
3028,1072
3004,1088
3040,1060
3024,1084
3004,1096
3008,1068
3044,1072
3032,1072
3056,1072
3068,1076
3064,1052
3036,1076
3056,1064
3032,1088
3056,1068
3036,1068
3012,1096
3032,1084
3020,1096
3032,1088
3016,1076
3016,1084
3012,1088
3024,1084
3004,1080
3016,1076
3012,1052
3008,1072
3040,1068
3008,1068
3012,1092
3000,1084
3024,1092
2976,1140
3004,1100
3064,1124
3088,1088
3084,1096
3104,1116
3104,1108
3092,1096
3072,1084
3068,1120
3084,1132
3100,1120
3100,1120
3096,1116
3088,1132
3076,1144
3068,1108
3104,1120
3084,1136
3076,1124
3064,1120
3092,1152
3088,1132
3096,1104
3112,1112
3116,1116
3168,1112
3160,1116
3176,1132
3200,1136
3196,1120
3192,1132
3196,1136
3200,1148
3236,1116
3328,1156
3316,1144
3296,1148
3284,1148
3324,1168
3336,1168
3364,1144
3384,1152
3392,1164
3404,1160
3408,1172
3380,1156
3412,1164
3440,1148
3412,1180
3456,1148
3448,1160
3436,1184
3424,1156
3456,1164
3488,1164
3452,1144
3452,1216
3456,1220
3456,1220
3456,1252
